Week_0/,edx_introduction/,edX_Introduction,17179
Week_0/,edx_introduction/,edX_Summary,10874
Week_0/,edx_introduction/,edX_Courseware_Accordion,8755
Week_0/,edx_introduction/,edX_Top-Level_Navigation,7775
Week_0/,edx_introduction/,edX_Intro,6983
Week_0/,edx_introduction/,edX_Wiki,6578
Week_0/,edx_introduction/,edX_Discussion,4948
Week_0/,edx_introduction/,edX_Accordion,3918
Week_0/,edx_introduction/,edX_Top_Level_Navigation,2844
Week_0/,edx_introduction/,edX_Forum,2091
Week_1/,Lecture_1/,Programming_language_characteristics,41807
Week_1/,Lecture_1/,Basics_of_computation,41684
Week_1/,Lecture_1/,Basic_machine_architecture,33713
Week_1/,Lecture_1/,Types_of_knowledge,30305
Week_1/,Lecture_1/,Lecture_1_Introduction,17618
Week_1/,Lecture_2/,Python_objects,58908
Week_1/,Lecture_2/,Branching_programs,47877
Week_1/,Lecture_2/,Simple_scripts,44484
Week_1/,Lecture_2/,Strings,37681
Week_1/,Lecture_2/,Types_of_programming_languages,31783
Week_1/,Lecture_2/,Variables_and_naming,25899
Week_1/,Lecture_2/,Lecture_2_Introduction,18562
Week_1/,Lecture_2//,Branching_programs,47877
Week_2/,Lecture_3/,Floating_point_accuracy,57365
Week_2/,Lecture_3/,Guess_and_check_algorithms,43646
Week_2/,Lecture_3/,Iteration,33806
Week_2/,Lecture_3/,Bisection_search,32054
Week_2/,Lecture_3/,Newton-Raphson_root_finding,27733
Week_2/,Lecture_3/,Loop_mechanisms,27190
Week_2/,Lecture_3/,Approximation_methods,24877
Week_2/,Lecture_3/,Lecture_3_Introduction,17313
Week_2/,Lecture_3/,Guess_and_Check_Algorithms,8786
Week_2/,Lecture_3/,Floating_Point_Accuracy,8443
Week_2/,Lecture_3/,Newton-Raphson_Root_Finding,8229
Week_2/,Lecture_3/,Approximation_Methods,6189
Week_2/,Lecture_3/,Bisection_Search,6012
Week_2/,Lecture_3/,Loop_Mechanisms,4678
Week_2/,Lecture_3/,Demo_Bisection_Search,2928
Week_2/,Lecture_4/,Understanding_root_finding,39329
Week_2/,Lecture_4/,Creating_functions,35624
Week_2/,Lecture_4/,Environments,33599
Week_2/,Lecture_4/,Computing_powers_as_an_example,31093
Week_2/,Lecture_4/,Understanding_variable_binding,28529
Week_2/,Lecture_4/,How_environments_separate_variable_bindings,28011
Week_2/,Lecture_4/,Modules,22892
Week_2/,Lecture_4/,Lecture_4_Introduction,15583
Week_3/,Lecture_5/,Towers_of_Hanoi,36019
Week_3/,Lecture_5/,Recursion_on_strings,34569
Week_3/,Lecture_5/,Iterative_algorithms,29423
Week_3/,Lecture_5/,Recursive_algorithms,29143
Week_3/,Lecture_5/,Inductive_reasoning,26633
Week_3/,Lecture_5/,Using_environments_to_understand_recursion,25220
